team,season_start,salary
Atlanta Hawks,2014,58337671
Atlanta Hawks,2015,71378126
Atlanta Hawks,2016,95957250
Atlanta Hawks,2017,99375302
Boston Celtics,2014,59418142
Boston Celtics,2015,74219570
Boston Celtics,2016,88964888
Boston Celtics,2017,114982835
Brooklyn Nets,2014,91366156
Brooklyn Nets,2015,82911444
Brooklyn Nets,2016,83906170
Brooklyn Nets,2017,95964560
Charlotte Hornets,2014,75954458
Charlotte Hornets,2015,77609865
Charlotte Hornets,2016,89944405
Charlotte Hornets,2017,117228164
Chicago Bulls,2014,81244225
Chicago Bulls,2015,85385898
Chicago Bulls,2016,92076887
Chicago Bulls,2017,89524016
Cleveland Cavaliers,2014,82038768
Cleveland Cavaliers,2015,105962520
Cleveland Cavaliers,2016,126711108
Cleveland Cavaliers,2017,137866302
Dallas Mavericks,2014,83820065
Dallas Mavericks,2015,73930317
Dallas Mavericks,2016,103892106
Dallas Mavericks,2017,85753772
Denver Nuggets,2014,56278056
Denver Nuggets,2015,72320865
Denver Nuggets,2016,82523997
Denver Nuggets,2017,107015203
Detroit Pistons,2014,66738182
Detroit Pistons,2015,75996681
Detroit Pistons,2016,108063859
Detroit Pistons,2017,118897722
Golden State Warriors,2014,73386532
Golden State Warriors,2015,92862138
Golden State Warriors,2016,100492260
Golden State Warriors,2017,135356914
Houston Rockets,2014,87149371
Houston Rockets,2015,90188412
Houston Rockets,2016,89954827
Houston Rockets,2017,117851241
Indiana Pacers,2014,75174324
Indiana Pacers,2015,71286088
Indiana Pacers,2016,93333504
Indiana Pacers,2017,93569385
Los Angeles Clippers,2014,79791363
Los Angeles Clippers,2015,94426034
Los Angeles Clippers,2016,116237541
Los Angeles Clippers,2017,118803226
Los Angeles Lakers,2014,70914495
Los Angeles Lakers,2015,71530125
Los Angeles Lakers,2016,94291547
Los Angeles Lakers,2017,102110522
Memphis Grizzlies,2014,75341226
Memphis Grizzlies,2015,83080075
Memphis Grizzlies,2016,109383929
Memphis Grizzlies,2017,107827898
Miami Heat,2014,82351805
Miami Heat,2015,85813997
Miami Heat,2016,101390405
Miami Heat,2017,129458084
Milwaukee Bucks,2014,60626859
Milwaukee Bucks,2015,70993573
Milwaukee Bucks,2016,106476955
Milwaukee Bucks,2017,115375243
Minnesota Timberwolves,2014,62594677
Minnesota Timberwolves,2015,70519577
Minnesota Timberwolves,2016,79599139
Minnesota Timberwolves,2017,105179926
New Orleans Pelicans,2014,69193972
New Orleans Pelicans,2015,84384711
New Orleans Pelicans,2016,101519421
New Orleans Pelicans,2017,118871488
New York Knicks,2014,83007165
New York Knicks,2015,75111181
New York Knicks,2016,102952423
New York Knicks,2017,104305157
Oklahoma City Thunder,2014,78791632
Oklahoma City Thunder,2015,94622660
Oklahoma City Thunder,2016,91214949
Oklahoma City Thunder,2017,133777615
Orlando Magic,2014,53338463
Orlando Magic,2015,63349656
Orlando Magic,2016,102849207
Orlando Magic,2017,95538311
Philadelphia 76ers,2014,55948654
Philadelphia 76ers,2015,62801338
Philadelphia 76ers,2016,85559275
Philadelphia 76ers,2017,100223563
Phoenix Suns,2014,66503432
Phoenix Suns,2015,69589765
Phoenix Suns,2016,84572307
Phoenix Suns,2017,92030624
Portland Trail Blazers,2014,92220907
Portland Trail Blazers,2015,60475581
Portland Trail Blazers,2016,111872768
Portland Trail Blazers,2017,119035372
Sacramento Kings,2014,73675912
Sacramento Kings,2015,71770771
Sacramento Kings,2016,95943092
Sacramento Kings,2017,95682824
San Antonio Spurs,2014,69594583
San Antonio Spurs,2015,87365099
San Antonio Spurs,2016,107376781
San Antonio Spurs,2017,115118354
Toronto Raptors,2014,75562364
Toronto Raptors,2015,71809665
Toronto Raptors,2016,108508469
Toronto Raptors,2017,116574876
Utah Jazz,2014,58744030
Utah Jazz,2015,64733884
Utah Jazz,2016,79798193
Utah Jazz,2017,104735862
Washington Wizards,2014,83108421
Washington Wizards,2015,84237317
Washington Wizards,2016,101790911
Washington Wizards,2017,124030914
